Stock,Stock,Stock,Stock,Stock,ETF,ETF,ETF,ETF,ETF
136.5,92.444,17.076,64.040001,101.989998,27.629999,36.560001,30.809999,23.54,26.67
137.639999,93.474,17.566,64.239998,103.239998,27.98,37.049999,31.030001,23.37,24.96
138.179993,92.873,17.242,63.490002,103.290001,27.76,36.869999,31.6,23.29,25.11
137.729996,95.6,16.919,63.73,106.370003,28.139999,37.200001,31.719999,23.64,26.2
138.309998,96.553,16.242,63.560001,106.43,28.389999,37.450001,31.57,23.7,28.49
136.229996,94.198,17.095,63.599998,106.239998,28.559999,37.619999,32.439999,24.45,28.15
135.889999,91.729,17.713,65.849998,107.879997,28.93,38.009998,32.66,23.8,27.03
138.639999,95.076,17.889,66.43,107.839996,28.91,38.290001,32.32,24.01,25.83
137.820007,93.827,17.664,68.889999,107.279999,28.450001,37.849998,32.720001,23.87,26.34
136.860001,92.053,17.546,68.190002,107.239998,28.389999,37.82,33.169998,23.16,28.81
137.410004,90.623,17.791,68.57,107.959999,28.35,37.560001,32.779999,23,28.7
135.919998,90.404,18.487,66.940002,108.660004,27.93,37.080002,32.689999,23.11,25.95
134.949997,94.227,18.468,66.440002,107.610001,27.9,37.220001,32.630001,23.33,26.15
132.600006,94.961,18.654,66.230003,108.919998,28.200001,37.82,32.290001,23.02,25
132.509995,97.974,18.085,66.029999,108.339996,28.209999,37.939999,31.73,23.28,26.01
133.229996,97.03,18.232,65.860001,108.870003,28.07,37.959999,32.189999,22.88,25.445
134.729996,99.509,17.997,66.730003,112.129997,28.57,38.529999,32.43,23.24,25.49
135.009995,99.671,18.33,68.099998,111.129997,28.43,38.41,32.830002,23.61,25.2
137.619995,102.493,18.713,68.849998,110.620003,27.959999,37.779999,32.349998,23.48,25.2
137.25,98.68,18.722,66.139999,109.330002,27.389999,36.84,31.26,22.93,25.73
135.5,96,19.428,66.790001,107.459999,27.68,37.18,32.02,22.91,24.85
134.490005,96.672,19.565,69.279999,109.580002,27.889999,37.509998,31.67,22.94,25
135.570007,95.62,19.074,70.620003,111,28.190001,38.009998,31.700001,22.88,25.7
134.979996,96.174,19.192,70.589996,111.519997,28.870001,39.009998,32.02,22.74,25.03
133.589996,96.146,19.094,72.389999,111.480003,29.370001,39.57,32.669998,22.63,24.43
136.009995,93.755,18.662,72.099998,111.580002,29.209999,39.419998,32.25,22.36,24.81
134.830002,93.267,17.985,73.489998,110.25,29.27,39.200001,32.330002,22.57,24.38
136.580002,95.581,17.622,74.370003,111.910004,29.34,39.27,32.209999,22.7,24.05
137.679993,98.536,17.494,74.220001,112.620003,29.219999,39.200001,32.27,22.82,24.67
142.190002,93.688,17.523,73.019997,112.199997,29.030001,39.189999,32.32,23.15,26.1
143.740005,95.62,17.887,72.989998,112.029999,29.1,39.43,33.02,23.47,25.74
143.179993,95.84,19.34,73.690002,112.699997,28.940001,39.189999,33.689999,23.75,24.59
141.630005,96.93,19.222,72.959999,112.510002,28.99,38.779999,33.82,23.64,24.99
141.899994,98.938,19.084,73.43,113.480003,28.959999,38.73,34.110001,23.87,25.31
148.850006,97.111,20.056,72.029999,113.480003,29.040001,38.75,33.080002,23.24,24.73
150.850006,98.173,20.056,73.980003,114.610001,29.42,39.189999,33.389999,23.28,24.39
149.580002,94.348,20.262,75.82,114.639999,29.32,39.150002,33.869999,22.79,24.86
148.539993,91.804,20.184,75.529999,113.989998,28.9,38.66,33.220001,22.31,26.15
149.380005,87.645,20.547,73.199997,111.769997,28.32,37.93,32.970001,21.83,24.8
149.050003,87.32,20.046,64.18,112.589996,28.16,37.790001,32.290001,21.65,26.35
147.729996,88.984,20.675,62.75,112.589996,28.23,38.07,32.060001,21.49,27.2
150.330002,93.277,20.851,64.419998,113.459999,28.459999,38.34,32.02,21.42,26.04
149.619995,91.336,19.978,63.189999,113.18,28.08,38.040001,31.889999,21.04,27.71
150.770004,91.718,19.762,62.02,113.029999,28.18,38.23,31.639999,20.87,27.5
151.440002,94.596,19.516,62.790001,113.879997,28.360001,38.630001,31.790001,20.83,27.05
152.179993,99.311,19.762,61.540001,113.389999,28.110001,38.23,31.57,21.28,24.85
152.270004,98.354,19.389,63.27,114.120003,28.120001,38.150002,30.940001,20.78,27
152.119995,102.973,19.87,59.470001,114.010002,27.799999,37.580002,30.620001,20.66,27.07
151.550003,92.942,18.76,59.68,115.230003,27.690001,37.369999,30.52,20.03,28.01
150.020004,93.707,19.143,58.599998,113.059998,27.5,37,30.32,19.55,27.055
150.139999,94.702,18.937,59.419998,118.720001,27.440001,37.040001,30.540001,19.87,27.28
150.160004,95.237,18.849,59.509998,119.160004,27.59,37.360001,30.219999,19.12,26.93
148.240005,98.402,19.536,60.98,117.790001,27.540001,37.220001,30.889999,19.42,25.97
147.080002,101.332,19.811,61.759998,121.879997,27.65,37.43,31.92,19.93,24.69
146.630005,102.792,20.341,60.709999,118.860001,27.200001,36.91,31.58,19.92,24.79
146.690002,100.352,19.408,61.189999,119,27.379999,37.240002,31.309999,19.73,26.09
147.429993,100.477,19.094,61.669998,119.93,27.620001,37.700001,31.690001,20.27,25.355
147.589996,100.871,18.27,62.5,121.019997,28.09,38.18,32.139999,20.07,25.05
148.320007,104.713,18.387,63.419998,121.650002,28.040001,38.220001,31.83,20.1,24.06
146.960007,105.154,18.211,62.509998,121.809998,27.92,37.66,30.85,20.39,24.03
148.199997,106.806,18.996,63.57,121.699997,27.610001,37.43,31.440001,20.34,23.65
146.100006,108.679,19.988,63.740002,120.610001,27.290001,36.860001,31.16,20.31,23.26
145.610001,110.072,20.321,62.799999,119.949997,27.23,36.610001,30.76,20.36,22.46
148.910004,107.921,19.624,61.650002,119.419998,27.09,36.540001,30.16,19.84,22.56
149.020004,111.177,20.056,60.98,119.360001,27.110001,36.75,30.58,20.13,22.26
149.039993,110.418,20.311,61.93,118.389999,27.440001,37.16,31.33,20.59,21.7
149.270004,113.453,20.184,62.810001,118.400002,27.209999,36.84,31.450001,20.23,21.89
151.160004,112.742,20.773,62.84,116.82,27.08,36.59,31.799999,20.37,22.03
153.639999,117.862,20.773,64.440002,117.800003,27.25,36.970001,32.400002,20.52,21.67
152.119995,117.045,20.557,64.209999,118.169998,27.33,37.150002,32.259998,20.35,21.8
153.940002,113.876,19.546,62.939999,117.669998,27.129999,36.77,32.259998,19.97,23.13
153.490005,112.214,18.299,62.189999,116.300003,27.049999,36.869999,32.040001,20.19,23.33
153.610001,107.344,16.817,60.860001,114.949997,27.040001,36.779999,32.290001,19.5,25.84
153.429993,107.085,16.866,58.619999,113.129997,26.68,36.150002,31.200001,19.37,25.33
152.740005,105.01,17.288,57.880001,111.660004,26.709999,36.029999,31.17,19.96,23.97
154.649994,98.373,16.355,58.860001,109.669998,26.440001,35.73,31,20.24,25.4
153.910004,90.036,15.904,58.93,109.550003,25.969999,35.279999,30.43,19.98,24.66
153.130005,95.357,16.169,57.34,108.919998,25.860001,35.119999,30.059999,19.98,24.5
152.25,89.383,15.413,58.18,111.809998,26.120001,35.52,30.459999,19.76,23.84
149.059998,84.418,15.118,58.459999,112.949997,26.200001,35.59,30.67,19.37,23.4
148.25,87.318,15.796,58.560001,114.470001,25.74,34.900002,30.07,19.51,23.12
147.429993,89.273,15.727,57.299999,111.910004,25.49,34.630001,29.139999,19.49,22.6
147.690002,92.168,15.835,58.57,111.989998,25.690001,34.84,29.209999,19.19,22.78
147.449997,88.528,15.47,57.48,111.720001,25.709999,34.990002,29.1,19.14,22.84
148.240005,86.931,15.45,57.77,112.379997,26.09,35.450001,29.35,18.64,23.08
149.110001,88.064,15.479,57.959999,113.07,25.91,35.220001,29.790001,18.31,22.54
148.889999,81.927,15.588,57.720001,113.099998,26.32,35.599998,30.610001,17.73,22.55
149.339996,80.668,15.243,58.07,113.669998,26.43,35.75,30.74,17.69,22.16
148.300003,83.582,15.874,56.355,113.199997,26.08,35.18,30.129999,17.75,22.33
147.960007,83.688,15.716,55.75,112.040001,25.68,34.709999,30.23,17.79,21.99
147.229996,82.808,15.509,57,116.389999,25.940001,35.060001,30.77,17.58,22.21
149.179993,80.775,15.706,57.16,118,25.92,35.099998,30.639999,17.44,22.48
149.279999,80.446,15.637,55.799999,117.239998,25.469999,34.490002,30.110001,17.69,22.41
145.520004,78.994,15.479,54.810001,116.260002,25.459999,34.34,30.1,17,22.32
146.229996,80.233,15.726,53.389999,115.660004,25.190001,34.060001,29.940001,17.19,21.54
144.729996,82.343,16.11,53.450001,114.410004,25.280001,34.32,29.809999,17.22,21.91
146.309998,85.644,16.869,54.240002,115.809998,25.360001,34.529999,30.23,17.29,21.85
145.259995,87.802,17.085,51.490002,115.540001,25.129999,34.32,29.92,17.19,21.57
145.199997,86.079,16.967,51.75,114.290001,24.82,34.209999,30.49,17.4,21.2
138.929993,85.305,16.672,50.389999,112.790001,24.77,33.759998,29.93,17.14,21.4
141.889999,89.099,17.046,51.049999,114.699997,25.1,34.32,29.52,16.98,21.15
141.179993,88.17,16.691,51.799999,115.970001,25.18,34.450001,29.77,17.16,21.67
142.470001,90.28,17.332,51.66,115.980003,25.360001,34.700001,30.66,17.6,21.31
143.259995,91.045,17.647,55.060001,118.32,25.91,35.52,31.540001,18.43,20.82
141.419998,94.307,17.548,56.099998,121.25,26.15,35.650002,31.9,18.7,20.94
141.199997,92.051,17.578,54.619999,122.139999,26.059999,35.439999,32.02,18.79,21.8
142.160004,91.674,17.046,54.630001,123.160004,26.030001,35.23,32.240002,18.41,21.65
142.029999,88.393,17.085,55.080002,122.790001,26.23,35.509998,31.98,18.49,21.95
138.039993,86.999,17.42,54.279999,122.370003,26.24,35.59,31.809999,18.64,21.32
138.589996,89.874,17.706,54.77,123.330002,26.34,35.75,32.400002,18.33,21.5
138.639999,90.628,17.854,54.389999,122.360001,26.41,35.759998,32.330002,19.03,22.07
138.059998,92.448,17.952,56.68,124.800003,27.360001,36.91,33.380001,18.93,21.94
137.600006,92.903,18.465,58.25,123.970001,27.51,36.880001,33.599998,18.95,21.44
138.279999,97.143,18.879,56.82,120.150002,27.629999,36.84,33.669998,18.67,21.69
138.300003,99.456,19.243,56.540001,128.820007,27.99,37.310001,33.490002,19.17,22.05
138.309998,97.97,18.908,56.990002,129.429993,28.07,37.459999,34.16,18.68,21.49
138.729996,97.318,19.233,55.400002,130.720001,27.9,37.279999,33.790001,18.57,21.29
138.470001,98.543,19.066,56.34,130.979996,27.950001,37.369999,33.759998,18.25,21.1
138.669998,101.965,19.263,55.759998,131.089996,28.219999,37.709999,33.77,18.04,21.14
139.089996,102.218,18.504,56.389999,131.089996,28.129999,37.599998,33.75,17.55,21.16
138.080002,102.315,18.13,58.470001,130.300003,28.24,37.59,34.119999,17.5,21.22
138.5,105.436,18.189,57.970001,129.199997,28.530001,37.630001,33.790001,17.62,20.14
142.389999,107.449,18.426,57.610001,130.380005,28.41,37.57,34.009998,17.63,19.8
143.410004,108.965,18.849,59.650002,132.139999,28.73,37.75,34.419998,17.73,19.7
144.149994,109.004,17.972,59.849998,132.649994,28.639999,37.549999,33.650002,17.36,20.15
144.570007,110.268,17.706,57.919998,132.240005,28.690001,37.599998,33.740002,17.29,19.71
146.380005,107.429,17.608,59.529999,132.429993,28.76,37.639999,33.639999,16.96,19.48
147.970001,106.408,17.509,58.48,131.660004,28.889999,37.860001,33.599998,16.58,19.24
149.279999,104.542,17.115,58.939999,132.080002,29,38.310001,33.849998,16.38,19.44
151.240005,107.196,17.007,59.040001,135.289993,29.040001,38.369999,33.759998,16.57,19.09
153.240005,105.611,16.75,58.889999,135.449997,29.1,38.470001,33.419998,16.54,19.25
154.300003,103.793,17.381,61.73,137.770004,29.49,38.98,34.639999,17,18.55
154.880005,105.31,17.411,61.869999,134.589996,29.58,39.32,35.060001,17.03,18.22
154.039993,108.858,17.972,61.259998,133.940002,29.27,38.959999,34.59,17.32,18.47
153.419998,111.211,18.218,61.470001,135.039993,29.24,39.02,35.189999,18.17,18.15
153.600006,109.208,17.618,63.009998,135.869995,29.58,39.349998,35.66,17.83,19.01
151.690002,114.439,18.051,61.740002,134.610001,29.18,38.619999,33.779999,18,19.09
152.589996,112.348,17.864,62.060001,135.880005,29.540001,39.18,34.330002,17.63,19.15
154.940002,109.986,17.509,61.84,136.419998,29.52,39.130001,34.619999,17.99,19.81
154.619995,109.733,17.558,62.560001,137,29.690001,39.369999,35.150002,17.99,17.99
154.880005,108.956,17.44,62.68,137.410004,29.860001,39.509998,35.27,17.73,18.41
154.75,108.003,16.553,63.080002,138.199997,29.66,39.130001,35.110001,18.06,18.86
154.970001,107.001,15.952,61.41,138.389999,29.690001,39.18,34.959999,18.09,18.91
159.820007,97.794,15.588,61.459999,137.679993,29.34,38.610001,34.369999,17.36,19.82
160.460007,96.443,15.292,58.630001,134.770004,28.92,38.02,34.43,16.92,20.56
161.460007,96.015,15.529,58.450001,135.270004,29.030001,38.220001,34.07,16.9,20.95
162.139999,100.138,16.307,60.119999,134.5,29.030001,38.080002,34.459999,17.45,20.07
161.429993,102.159,15.67,61.740002,135.809998,29.41,38.52,34.529999,17.37,20.62
162.309998,100.858,15.76,61.049999,135.899994,29.16,38.09,34.040001,17.5,21.21
164.889999,108.378,16.246,60.959999,135.960007,29.299999,38.299999,33.990002,19.1,20.15
163.779999,113.946,16.722,61.349998,136.770004,29.190001,38.299999,34.16,19.36,19.39
162.399994,114.252,16.603,61,136.580002,29.219999,38.400002,34.34,18.99,19.52
161.479996,115.947,16.434,58.450001,137.080002,28.67,37.68,33.439999,19.04,20.09
162.039993,116.794,16.176,59.889999,135.600006,28.49,37.41,33.240002,18.5,20.91
163.300003,115.109,16.216,62.09,137.470001,28.73,37.91,32.91,18.09,21.43
164.770004,113.907,16.405,65.82,137.630005,28.889999,37.919998,32.959999,17.68,21.76
165.389999,114.616,16.494,63.740002,138.229996,28.92,37.900002,32.34,17.59,21.54
167.5,120.963,16.702,64.779999,138.880005,28.85,37.759998,32.939999,17.39,20.98
164.220001,116.252,16.683,63.02,138.729996,29.360001,38.080002,32.93,16.81,21.45
165.130005,116.646,17.248,60.709999,140.809998,29.309999,38.41,33.189999,17.12,20.84
164.399994,116.183,17.516,61.779999,141.759995,29.389999,39.009998,33.369999,17.23,20.44
163.910004,119.356,17.397,63.759998,142.940002,29.459999,39.110001,33.130001,17.01,20.6
164.919998,120.046,17.109,63.68,142.509995,29.42,39.189999,32.860001,17.17,20.33
164.399994,122.688,17.705,61.349998,140.279999,29.07,38.77,32.919998,17.76,20.25
167.589996,123.328,17.705,62.02,143.110001,29.5,38.959999,33.290001,17.68,19.94
168.669998,122.146,17.864,62.419998,143.679993,29.23,38.599998,32.669998,17.86,19.17
171.259995,124.738,17.963,61.540001,142.75,29.07,38.400002,32.68,17.98,18.73
173.289993,124.806,18.37,63.709999,142.160004,29.280001,38.669998,33.560001,17.98,18.36
175.009995,125.329,18.509,63.240002,143.25,29.200001,38.59,33.389999,17.74,17.93
174.789993,124.264,18.737,56.130001,146.059998,29.26,38.66,32.709999,17.62,17.66
174.080002,125.93,18.717,58.91,145.869995,29.27,38.849998,32.93,18.05,17.49
173.070007,124.678,17.864,60.09,145.410004,29.34,38.810001,33.220001,17.73,17.94
173.289993,131.882,16.861,58.259998,144.940002,28.809999,38.130001,32.27,17.94,17.57
174.419998,130.404,17.07,58.869999,144.490005,29.16,38.709999,32.549999,19.26,17.35
176.589996,132.986,17.04,59.700001,144.389999,29.48,39.189999,32.799999,19.15,17.16
177.490005,132.494,17.119,59.139999,144.080002,29.51,39.09,33.110001,19.7,17.66
175.75,123.446,16.673,58.630001,144.449997,29.58,39.48,33.689999,19.36,18.21
175.139999,127.586,17.993,57.48,144.820007,29.709999,39.709999,33.689999,19.97,17.21
176.75,132.02,18.419,58.349998,146.899994,30.200001,40.18,33.490002,19.95,16.98
178.089996,131.619,17.953,59.16,148.029999,30.219999,40.34,33.119999,20.24,16.98
178.809998,132.668,18.419,59.330002,147.839996,30.309999,40.25,33.290001,19.88,17.2
178.990005,127.869,18.142,60.16,149.619995,30.549999,40.419998,34.080002,19.74,16.74
178,129.799,17.735,60.25,150.449997,30.49,40.290001,33.349998,19.29,16.58
176.050003,127.226,18.191,60.34,148.960007,30.639999,40.209999,33.009998,19.25,16.41
178.910004,124.159,18.032,60.540001,149.630005,30.780001,40.240002,33.200001,19.2,15.97
177.050003,128.601,18.39,59.98,149.960007,30.73,40.369999,32.990002,19.43,15.42
179.160004,125.396,18.132,58.27,149.169998,30.620001,40.189999,32.849998,19.81,15.08
181.059998,125.465,18.32,58.119999,148.119995,30.809999,40.509998,33.150002,19.72,15.16
180.570007,122.527,18.062,58.5,146.020004,31.25,41.049999,33.099998,19.26,15.72
178.850006,122.932,18.519,59.009998,145.740005,31.01,40.900002,32.330002,19.56,15.49
179.630005,122.2,18.796,60.080002,145.869995,31.030001,41.02,32.119999,20.43,14.92
180.919998,121.755,18.548,60.029999,146.490005,31.42,41.32,32.549999,20.98,14.64
179.860001,120.884,18.429,62.450001,147.089996,31.41,41.619999,32.68,21.29,14.38
181.199997,118.104,17.546,63,146.020004,31.15,41.490002,32.400002,20.44,14.63
177.880005,114.384,17.278,62.849998,145.119995,31.17,41.57,32.09,20.44,15.07
178.490005,113.662,17.447,64.230003,144.309998,30.99,41.25,31.99,20.92,15.29
179.660004,111.406,17.556,63.009998,146.429993,31.07,41.209999,32.080002,21.21,14.98
176.270004,108.853,17.556,65.050003,146.979996,31.450001,41.84,32.82,21.56,15.3
177.5,110.595,17.963,66.139999,147.190002,31.309999,41.360001,32.549999,21.46,15.21
178.449997,112.207,17.933,64.769997,145.369995,31.290001,41.110001,32.130001,21.83,14.58
178.529999,111.673,17.447,66,144.589996,31.440001,41.18,32.25,21.99,14.08
179.190002,111.356,16.99,66.669998,144.570007,31.58,41.27,32.259998,21.24,14.96
180.350006,109.269,16.871,66.57,147.190002,31.870001,41.599998,32.509998,21.37,15.01
182.100006,109.269,16.653,66.989998,146.759995,31.75,41.41,32.419998,21.12,14.65
180.759995,111.455,16.782,65.029999,145.089996,31.73,41.380001,31.83,22.23,14.54
180.690002,115.047,15.76,64.660004,143.679993,31.35,40.939999,32.009998,22.07,13.99
177.330002,111.703,15.928,65.339996,141.520004,31.65,41.259998,32.09,21.69,14.75
167.899994,116.531,16.216,64.540001,139.710007,31.370001,40.759998,32.09,21.85,14.35
170,117.945,15.834,65.150002,139.529999,31.35,40.82,31.809999,22.11,14.34
169.800003,114.799,15.52,66.339996,140.270004,31.58,41.110001,32.52,21.6,14.31
170.139999,115.874,15.81,67,139.919998,31.360001,40.91,32.990002,21.97,14.13
169.029999,117.477,16.05,65.879997,138.289993,30.969999,40.310001,32.080002,22.02,14.12
167.520004,112.619,15.93,65.800003,139.940002,30.85,40.349998,31.82,22.05,13.99
162.279999,112.838,16.17,64.589996,135.990005,30.25,39.610001,31.27,21.89,13.61
161.669998,116.252,15.79,63.509998,133.649994,30.26,39.59,30.809999,21.39,13.72
162.539993,117.706,16.17,63.43,133.830002,30,39.470001,30.08,21.92,13.4
164.25,116.84,16.2,63.259998,132.789993,30.15,39.75,30.17,21.74,13.47
164.660004,117.557,16.45,62.099998,131.800003,30.040001,39.810001,30.110001,21.73,12.91
166.410004,117.716,17.26,62.310001,133.339996,30.01,39.91,30.74,21.55,12.97
167.889999,119.627,17.4,63.189999,133.770004,30.379999,40.220001,31.01,21.88,12.33
169.539993,120.932,17.01,64.43,133.089996,30.93,40.650002,31.16,22.33,12.02
167.800003,119.707,17.41,64.839996,132.610001,30.790001,40.610001,30.99,22.01,12.12
167.289993,118.024,17.14,64.099998,132.149994,30.690001,40.369999,30.809999,21.57,12.55
159.619995,119.11,17.08,65.959999,133.610001,30.959999,40.669998,31.540001,21.96,12.62
161.520004,121.26,17.61,66.989998,131.059998,30.98,40.599998,31.75,22.02,12.17
162.639999,119.598,17.96,67.919998,129.550003,30.459999,40.040001,31.030001,21.58,12.08
161.720001,118.283,18.13,66.139999,127.82,30.389999,39.889999,31.15,21.76,11.61
160.809998,119.836,18.25,66.980003,127.68,30.709999,40.290001,31.780001,21.97,11.63
163.789993,124.098,18.34,65.699997,130.839996,30.950001,40.639999,32.310001,21.99,11.45
162.729996,123.062,18.63,65.610001,132.479996,31.280001,40.900002,32.330002,21.68,11.3
162.550003,119.996,18.53,65.919998,131.580002,31.59,41.200001,32.52,21.66,11.58
160.449997,121.33,18.85,63.810001,132.759995,31.66,41.52,32.400002,21.83,11.32
160.875,117.178,18.8,63.810001,134.309998,32.02,41.880001,31.570101,22.08,10.98
,110.807,19.23,,,,,,21.57,11.21
,107.631,19.07,,,,,,20.57,11.32
,107.014,18.52,,,,,,20.48,11.6
,111.524,18.71,,,,,,20.38,11.24
,110.299,18.55,,,,,,20.48,11.66
,109.443,18.45,,,,,,20.18,12.03
,114.55,18.18,,,,,,20.24,12.17
,112.31,18.46,,,,,,20.2,11.69
,113.55,18.53,,,,,,20.12,11.3
,111.65,18.43,,,,,,19.89,11.07
,108.36,17.35,,,,,,19.84,11.68
,104.12,16.94,,,,,,20.01,11.67
