x,D127
824,8818.7
825,8748.3
826,8839.3
827,8841.1
828,8865.8
829,8934.7
830,9018.6
831,9018.3
832,9124.1
833,9174.5
834,9276.7
835,9118.9
836,9136.5
837,9215.9
838,9224.1
839,9290.1
840,9332.3
841,9366.4
842,9365.2
843,9330.6
844,9280.4
845,9259.7
846,9260.4
847,9217.7
848,9617
849,9773.9
850,9817.4
851,9785.9
852,9628.3
853,9709.6
854,9746.7
855,9756.3
856,9630.9
857,9389.9
858,9246.4
859,9113.4
860,9109.8
861,9104.8
862,9249.2
863,9263.8
864,9298.8
865,9296.8
866,9354.6
867,9239.5
868,9172.9
869,9219.1
870,9228.7
871,9257.3
872,9332.9
873,9319.3
874,9406.5
875,9421.5
876,9431.6
877,9485.4
878,9352.2
879,9436.8
880,9415.8
881,9417.3
882,9418.5
883,9695.8
884,9655
885,9644.5
886,9691.1
887,9630.9
888,9524.3
889,9539.8
890,9562
891,9542.4
892,9560.7
893,9542.9
894,9550.1
895,9544.3
896,9555.9
897,9525.6
898,9716.4
899,9720.1
900,9753
901,9813.2
902,10055
903,9924.9
904,9923.3
905,9877.1
906,9866.6
907,9893.6
908,9876.9
909,9912.9
910,10073.7
911,10143
912,10101.8
913,10081.3
914,10090
915,10012.4
916,10011.3
917,9998.6
918,10009.2
919,10092.4
920,10146
921,10084.2
922,10004.3
923,10075
924,10186.2
925,10210.8
926,10187
927,10191.8
928,10185.1
929,10172.8
930,10144.1
931,10253.7
932,10296.4
933,10331.3
934,10291.4
935,10320.1
936,10255
937,10327.9
938,10294.6
939,10394.4
940,10383.9
941,10508.8
942,10542
943,10528
944,10596.8
945,10577.9
946,10520.8
947,10568.9
948,10642.1
949,10539.1
950,10598.6
951,10753.9
952,10776.4
953,10975.7
954,10967
955,11066.7
956,10970.3
957,10964.4
958,10869.2
959,10944.7
960,10954.4
961,10951.6
962,10905.5
963,10756.5
964,10919
965,10648.1
966,10812.8
967,10721.2
968,10482.6
969,10579.7
970,10714.3
971,10627.1
972,10668.2
973,10637.4
974,10543.7
975,10504
976,10175.7
977,10221.6
978,10132.8
979,10054.9
980,10187.7
981,10174.5
982,10200.5
983,10250.5
984,10231.4
985,10234.1
986,10226.7
987,10272.2
988,10469.8
989,10420.3
990,10460.4
991,10427.6
992,10326.1
993,10357.8
994,10351.1
995,10350.7
996,10365.8
997,10326.7
998,10468.2
999,10626.3
1000,10580.3
1001,10553.4
1002,10622.6
1003,10669.9
1004,10691.8
1005,10698.6
