Series,N,NF,Category,Starting Year,Starting Month,non_null_count,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
N1901,140,18,INDUSTRY    ,1979,1,140,4419,4336,4214,4294,4650,4608,4650,4625,4739,5010,4808,4474,4527,4652,4677,4904,4851,4956,4819,4940,5217,5305,5265,5256,5671,5617,5811,5728,5629,5490,5605,4944,5555,5956,5872,5795,6033,6337,6396,6244,6200,6082,5866,5917,6134,6428,6187,6228,6269,6586,6223,6724,6294,6445,6163,6207,6816,6850,6439,6401,6913,6969,7064,6987,6882,6683,6530,6748,6773,7375,7208,6676,7167,7146,7193,7162,7145,6819,6702,6702,6782,7307,6818,6966,7012,7754,7462,7183,7165,7299,7103,6950,7506,7708,7693,7495,7955,8316,9230,8654,8307,7940,7509,7752,8310,8616,8358,8150,8664,8817,8927,8537,8497,8270,7658,8049,8365,8971,8854,8540,8878,9184,8943,8988,8963,8512,7901,8073,8638,9296,9416,9379,9701,10006,10115,10074,9920,9200,8772,8702,,,,
N2186,134,18,INDUSTRY    ,1983,1,134,513.5,695.5,849.5,736.5,882,884.5,1246.5,826.5,986,1156,1076.5,841.5,1225,1217,1319,1357,1675,1075.5,1260.5,1182.5,1948.5,1766.5,1547.5,1421.5,1247.5,1480.5,2027,1128.5,1573.5,1599.5,1148.5,1157,1082.5,1349.5,1627,1100.5,1247.5,1606.5,1460.5,1183,1185,1456.5,992.5,1086,899.5,1149.5,758.5,740.5,956.5,983.5,1075.5,651.5,1396,988.5,846,902.5,1167.5,1871.5,657.5,1548,2057.5,2179.5,1741.5,1464.5,2056.5,2106.5,1675.5,1793,2529.5,1992.5,1646,1915,1454,1913,2002,1385,1381,1230.5,1120,1207,1745,1357,1081.5,1352,1177,1004.5,1326,1874.5,1168,1512,1325.5,2122,1907.5,1660.5,1131,1511,1072,1138,1272,1099.5,964.5,877,1232.5,1173,1502.5,1339,1408.5,2413.5,1534,1406.5,1632,1342.5,965,1247.5,1427,748,1639,1022,1121.5,1232.5,1064,1985.5,2230,2460,2590,2246,1225.5,995,1969.5,1293,1550.5,2051,2631.5,1721.5,,,,,,,,,,
N1950,133,18,INDUSTRY    ,1983,1,133,3275,2810,3550,3515,3870,3600,3240,3550,4025,3805,3050,3460,3665,3175,4025,3785,3710,4060,3965,3830,3830,4085,3840,3085,3240,2920,3365,4390,4160,3990,3815,4460,4155,4080,3670,3620,3775,3675,4590,4225,4325,4685,4350,4940,4975,4745,4065,4150,4845,4495,5140,4450,4885,5435,4510,5205,4050,5380,4295,4445,5095,5000,5340,5135,5375,4690,3670,4110,4670,4810,4265,4970,5135,3770,5175,4235,4520,5290,4440,4920,4690,4995,4270,4275,5355,4460,5490,4500,4350,5010,4075,4415,3875,4360,3560,3460,3425,3475,4080,4480,4565,3720,3775,4395,4265,4340,3660,3495,4205,3475,4390,3345,3730,4455,3450,4440,3685,4465,3910,3375,3830,3495,3145,3435,2880,3160,4045,3945,2955,3665,3670,3180,3095,,,,,,,,,,,
N2072,144,18,INDUSTRY    ,1982,1,144,3710,3480,4024,4154,4142,4122,4228,4122,3938,3976,3952,4072,3756,3378,4250,3888,4116,4216,4214,4320,4056,4104,3976,4258,3892,3628,4056,4022,4294,4282,4250,4418,3966,4184,4094,4074,3950,3700,4148,4192,4394,4216,4366,4512,3996,4292,4074,4228,4044,3634,4330,4282,4428,4346,4632,4634,4156,4512,4142,4442,4064,3818,4334,4404,4644,4542,4718,4568,4338,4544,4302,4506,4164,4096,4556,4472,4548,4710,4660,4702,4460,4524,4440,4566,4196,3996,4616,4312,4592,4684,4542,4810,4360,4540,4428,4606,4130,4034,4564,4286,4578,4530,4666,4852,4164,4494,4356,4338,4130,3840,4362,4296,4626,4490,4708,4686,4266,4528,4216,4488,4268,4052,4438,4354,4558,4494,4750,4594,4422,4560,4270,4598,4188,3998,4602,4452,4686,4630,4840,4908,4584,4604,4558,4746
N1907,144,18,INDUSTRY    ,1982,1,144,1514.9,1775.5,2572.9,2821.3,3098.4,3538.8,3452.7,3595.7,3535.1,3410.6,2743.1,2271.8,1893.1,1766,2536.7,2838.3,3356.9,3941.5,3726.6,4193.1,3953.7,3905.3,3277.1,2220.2,2035.6,2563.8,2920.2,3434.6,4152.7,4305.9,4211.7,4685.1,3992.6,4325.5,3645.2,2568.1,2177.7,2172.3,3168.1,3941.5,4415.4,4261.7,4594.1,4688.3,4333.5,4596.8,3318.6,2671.8,2890.4,2366,3234,4146.3,4319.7,4480.9,4687.2,4658.5,4592.6,4905.3,3508.5,3072.3,2553.2,2488.8,3409.6,4149.5,4319.7,4783.5,4928.2,4563.8,4763.8,5001.1,3829.8,3084,2097.9,2629.3,3640.4,3992.6,4535.6,5011.7,4380.3,4956.4,4758,4725,3975,3250.5,2717.6,2313.3,3378.2,3926.1,4458.5,4708.5,4378.2,5178.2,4528.2,4929.8,4023.4,2630.3,2961.5,2703,3520.5,3874.4,4482.8,4651.3,4468.7,4815.9,4256.7,4627.2,3788.8,2542.5,2127.3,2394.9,2723.9,3537.9,3987.6,4003.7,4257.7,4336.3,4029.4,4416.3,3166.7,2604.1,2448.2,2454.1,3047.4,3765.4,4048.2,4462.5,4391.3,4370,4423.9,4700.1,3225.9,2782.8,2102.2,2293.3,3066.1,3666.5,4203.4,4662.1,4584.7,4829.5,4652.8,4744.8,3970.9,3175
N2501,120,18,MACRO       ,1957,1,120,2100,2300,2500,2400,2500,2450,2450,2350,2350,2350,2300,2350,2200,2400,2550,2300,2300,2250,2300,2250,2300,2400,2350,2500,2350,2600,2800,2650,2750,2800,2800,2750,2900,3000,3000,3250,3000,3350,3600,3400,3400,3450,3450,3450,3550,3650,3700,3850,3650,3900,4300,3950,4100,4150,4200,4150,4200,4350,4350,4550,4300,4500,4950,4500,4550,4500,4400,4350,4450,4450,4450,4600,4300,4650,5050,4850,4850,4900,5050,4950,5150,5350,5350,5600,5200,5650,6000,5600,5650,5850,5800,5600,6000,6000,5900,6250,5700,5950,6500,5900,5800,6000,6000,5750,6050,6050,6100,6350,5900,6250,6900,6500,6500,6750,6850,6700,7050,7150,7300,7700,,,,,,,,,,,,,,,,,,,,,,,,
N2219,98,18,MACRO       ,1986,1,98,5049,5062,5099,5112,5144,5173,5250,5210,5236,5251,5261,5286,5317,5343,5356,5377,5450,5422,5442,5442,5456,5478,5476,5499,5655,5674,5752,5735,5737,5743,5770,5793,5798,5828,5847,5869,6021,6051,6156,6138,6170,6216,6255,6302,6344,6400,6469,6473,6689,6701,6721,6736,6763,6830,6856,6890,6968,7060,7100,7200,7406,7449,7495,7561,7621,7661,7701,7759,7803,7929,7912,8087,8312,8403,8417,8479,8528,8564,8616,8645,8722,8797,8724,8802,8924,8926,8983,9017,9045,9102,9143,9194,9218,9259,9275,9362,9423,9469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2267,134,18,MACRO       ,1983,1,134,4580,4235,4100,4165,4145,3810,4275,4300,4405,4610,4315,4365,4670,4865,5015,4920,5060,4970,5530,5300,5430,4165,4100,4580,4415,4645,5020,4965,4905,5055,4865,4835,4850,4795,4660,4790,4965,5005,5025,4875,4810,4795,4785,4805,4690,4775,4905,4770,4845,4995,4850,4680,4945,5120,4800,5045,5085,5145,5185,5265,5045,5070,5130,5100,5095,5100,5120,5210,5185,5115,5245,5475,5380,5170,5405,5495,5465,5220,4880,5360,5415,5550,5495,5270,5705,5595,5680,5755,5710,5725,5670,5375,5540,5565,5625,5365,5355,5705,5480,5280,5220,5455,5435,5450,5380,5425,5310,5395,5455,5530,5470,5420,5575,5265,5455,5390,5275,5300,5300,5415,5355,5255,5210,5230,5145,5345,5045,4925,5220,5220,5055,5235,5200,5500,,,,,,,,,,
N2270,144,18,MACRO       ,1982,1,144,5550,5590,5590,5540,5415,5475,5395,5265,5225,5105,5160,4885,4880,4765,4675,4645,4670,4625,4770,4955,5000,5045,5070,5160,5415,5080,5130,5300,5310,5340,5365,5285,5220,5235,5150,5155,5090,5220,4920,4920,4900,4915,4890,4870,4970,4905,4810,5135,4990,4915,4910,4705,4820,4800,4835,4820,4785,4760,4900,4875,4950,5025,5020,5015,4940,4935,4900,4960,4960,5035,5070,5140,5125,5090,5185,5080,5175,5135,5105,5150,5085,5125,5130,5080,4995,5215,5185,5305,5315,5320,5335,5270,5230,5070,5205,5105,5280,5315,5305,5340,5350,5420,5425,5440,5395,5415,5345,5230,5340,5305,5380,5400,5300,5250,5215,5260,5380,5400,5405,5420,5295,5100,5180,5390,5410,5465,5520,5440,5515,5490,5355,5360,5385,5415,5500,5655,5565,5610,5570,5650,5580,5590,5455,5460
N2478,144,18,MACRO       ,1964,1,144,4250,4400,4350,4500,4550,4500,4050,2250,4450,4650,4700,4350,4450,4500,4400,4350,4350,4450,3850,2400,4350,4350,4300,4150,4100,4400,4250,4300,4200,4300,3900,2250,4300,4500,4400,4250,4300,4350,4450,3700,4300,4500,3750,2500,4400,4500,4500,4400,4450,4650,4750,4700,2900,3600,4050,2600,4600,5000,5100,4850,4950,4950,4950,5050,5250,5200,4150,2750,5000,5150,5350,5150,5400,5600,5400,5450,5500,5200,4350,2700,5100,5200,5300,4850,5200,5250,5250,5100,4950,4750,4000,2900,5050,5250,5100,4950,5050,5150,5200,5250,5350,5200,4100,3100,5200,5300,5400,5200,5350,5600,5600,5500,5600,5700,4400,3250,5400,5600,5800,5500,6000,6200,6050,5950,6300,5800,4950,3550,5950,6000,6000,5400,5300,5250,5050,5050,4350,5050,3600,2750,4800,4600,5000,4450
N1871,126,18,MICRO       ,1984,10,126,6580,6640,6660,6160,6800,6980,6640,6860,6500,8520,6800,6960,6800,6460,6140,6000,6820,8960,7120,6880,7040,7260,7560,6620,6480,6740,7000,6600,6640,7080,6540,6680,6860,7160,6980,6880,6840,6720,7120,6820,6780,6620,6600,7200,6980,6780,6960,6920,6940,6620,7720,7000,6700,7900,6780,7340,7160,6780,6560,6580,6580,6640,7540,7720,7180,6820,7380,7420,6980,8400,7860,7280,8540,7720,8120,7920,6860,7080,6700,7180,7760,7460,7880,6960,7640,7120,6960,7360,6680,7520,6880,7620,8000,7560,7980,7480,7580,7860,7320,8460,7800,7320,6960,9100,7240,8220,8420,8060,7520,7980,7220,9160,8080,8880,8020,7820,8360,8700,8080,8140,8480,7900,7880,7740,8280,9000,,,,,,,,,,,,,,,,,,
N1435,69,18,MICRO       ,1990,1,69,4840,3760,3840,4740,6200,2700,3140,6440,2080,4440,3300,3180,5840,3560,2980,6040,5460,3200,5860,3880,3780,3080,3540,3580,4180,3680,4060,2840,2780,3580,2560,3180,2700,4180,3500,3160,2160,3060,4620,3400,1960,2400,2880,2420,2280,2540,2300,1880,2560,1860,3000,1740,3140,2900,2440,2940,2100,3060,2480,1980,4080,2280,2680,1880,2040,2660,1140,1440,3140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1533,69,18,MICRO       ,1990,1,69,4320,1980,3660,3440,4020,3100,2940,3420,3300,4260,2740,2660,3480,3040,3000,4080,3260,4000,3240,3320,3160,2900,2800,3040,4180,3120,3040,2760,3000,3160,3120,3740,3520,3420,2420,3240,3280,2340,3380,2400,2360,2640,2580,3160,2920,2100,3120,2320,2540,2500,3600,2040,1680,3240,2540,3160,2820,2960,2280,2580,2700,2220,2800,2380,2180,1960,3000,2600,2140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1474,69,18,MICRO       ,1990,1,69,4550,3200,3800,6500,5050,7400,3100,2500,2850,3300,3950,2600,6400,4500,1700,7200,2550,4100,4800,3300,4100,3900,5000,4100,3950,3300,3100,2900,6000,6350,6200,3050,3250,3050,3550,5450,2000,3500,4800,3400,4800,6300,5800,4700,5200,3000,5500,4400,4900,3600,3300,4300,4000,4500,2800,4400,4300,3700,2500,4000,3200,3100,1100,2300,5000,1800,4250,2600,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1819,126,18,MICRO       ,1984,10,126,8740,7800,8140,8180,8160,9040,8020,9040,8340,8380,8900,9320,8860,8140,8060,7980,7520,8440,7980,8360,9380,9020,7820,7740,7800,7920,7660,7020,7280,7280,6820,7900,8180,7460,8240,7880,7940,7180,7380,7040,6540,6660,6620,7840,6960,7500,7960,6700,7400,6520,7160,6880,6400,7120,6480,6600,7340,6900,6680,6360,6620,6740,6880,6660,6200,6660,6440,6880,6560,6960,6700,6560,6560,6980,6380,6560,6220,6360,6460,6340,6580,6600,6300,6400,6480,6540,6320,6400,6260,6280,6420,6340,6580,6600,6240,6320,6420,6380,6200,6480,6320,6320,6240,6220,6360,6720,6840,6540,6380,6740,6240,6460,6540,6360,6460,6520,6440,6700,6440,6600,6540,6280,6360,6300,6220,6680,,,,,,,,,,,,,,,,,,
N2824,71,18,OTHER       ,0,0,71,5784.1,5883.9,5758.7,5765,5762.9,5745.9,5816,5790.5,5794.8,5775.6,5818.1,5824.5,5850,5820.2,5867,6098.4,6109,6145.1,6136.6,6170.6,6240.7,6213.1,6251.3,6266.2,6217.3,6177,6132.4,6117.5,6092,6100.5,6066.6,6019.8,5990.1,5900.9,5822.4,5779.9,5728.9,5707.7,5641.9,5618.5,5618.5,5612.1,5588.8,5588.8,5571.8,5525.1,5495.4,5491.1,5501.7,5450.8,5412.5,5423.2,5433.8,5433.8,5414.7,5410.4,5387.1,5361.6,5340.4,5346.7,5348.8,5346.7,5348.8,5340.4,5336.1,5348.8,5348.8,5380.7,5340.4,5321.2,5317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2948,71,8,OTHER       ,0,0,71,3516,3494,3469,3453,3458,3446,3432,3411,3415,3408,3420,3384,3381,3378,3353,3340,3304,3292,3251,3191,3206,3189,3160,3174,3136,3128,3091,3042,2990,2967,3023,2988,2968,2954,2935,2915,2897,2892,2897,2880,2826,2845,2817,2833,2806,2787,2778,2720,2729,2706,2675,2641,2591,2591,2571,2514,2510,2484,2437,2413,2402,2344,2351,2316,2303,2226,2226,2165,2164,2133,2082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2888,71,8,OTHER       ,0,0,71,3833,3924,3919,3944,3951,3950,3965,3957,4076,4133,3918,3884,3858,3892,3826,3795,3858,3768,3735,3688,3675,3692,3666,3673,3704,3689,3667,3646,3599,3576,3561,3560,3504,3459,3447,3411,3337,3336,3256,3220,3049,2990,2945,2908,2897,2888,2739,2690,2607,2601,2569,2540,2476,2476,2453,2440,2410,2373,2412,2388,2366,2332,2307,2277,2225,2188,2188,2132,2079,2060,2073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
