t,value
1131,26
1132,38
1133,40
1134,52
1135,36
1136,25
1137,24
1138,22
1139,21
1140,33
1141,43
1142,26
1143,25
1144,21
1145,24
1146,25
1147,25
1148,47
1149,40
1150,31
1151,24
1152,14
1153,33
1154,39
1155,36
1156,38
1157,18
1158,20
1159,24
1160,18
1161,17
1162,45
1163,47
1164,29
1165,37
1166,35
1167,28
1168,27
1169,49
1170,49
1171,33
1172,35
1173,39
1174,36
1175,43
1176,42
1177,28
1178,9
1179,31
1180,23
1181,30
1182,35
1183,44
1184,52
1185,25
1186,25
1187,31
1188,40
1189,48
1190,48
1191,50
1192,24
1193,29
1194,26
1195,17
1196,34
1197,51
1198,55
1199,31
1200,49
1201,24
1202,22
1203,34
1204,36
1205,54
1206,27
1207,19
1208,24
1209,22
1210,38
1211,37
1212,38
1213,34
1214,25
1215,16
1216,32
1217,37
1218,36
1219,52
1220,35
1221,38
1222,41
1223,30
1224,40
1225,48
1226,64
1227,33
1228,29
1229,45
1230,21
1231,52
1232,42
1233,51
1234,28
1235,31
1236,38
1237,23
1238,46
1239,53
1240,49
1241,40
1242,34
1243,42
1244,32
1245,49
1246,45
1247,54
1248,36
1249,46
1250,42
1251,62
1252,44
1253,33
1254,38
1255,35
1256,47
1257,37
1258,42
1259,43
1260,46
1261,57
1262,40
1263,38
1264,30
1265,42
1266,49
1267,54
1268,56
1269,38
1270,35
1271,45
1272,54
1273,18
1274,63
1275,58
1276,31
1277,52
1278,43
1279,44
1280,39
1281,62
1282,52
1283,38
1284,41
1285,40
1286,44
1287,38
1288,40
1289,60
1290,42
1291,47
1292,35
1293,59
1294,50
1295,55
1296,60
1297,41
1298,31
1299,36
1300,44
1301,34
1302,55
1303,43
1304,31
1305,40
1306,59
1307,38
1308,44
1309,54
1310,64
1311,56
1312,40
1313,37
1314,48
1315,50
1316,46
1317,42
1318,36
1319,47
1320,42
1321,48
1322,53
1323,56
1324,38
1325,55
1326,40
1327,41
1328,40
1329,45
1330,51
1331,40
1332,39
1333,49
1334,46
1335,36
1336,36
1337,39
1338,51
1339,37
1340,37
1341,49
1342,39
1343,55
1344,64
1345,59
1346,41
1347,22
1348,45
1349,42
1350,39
1351,58
1352,55
1353,39
1354,44
1355,40
1356,23
1357,37
1358,54
1359,40
1360,38
1361,39
1362,28
1363,35
1364,35
1365,52
1366,51
1367,38
1368,51
1369,37
1370,35
1371,28
1372,40
1373,48
1374,39
1375,25
1376,2
1377,21
1378,42
1379,40
1380,38
1381,38
1382,40
1383,27
1384,29
1385,32
1386,28
1387,45
1388,28
1389,22
1390,37
1391,28
1392,30
1393,49
1394,34
1395,42
1396,35
1397,52
1398,48
1399,45
1400,41
1401,52
1402,29
1403,23
1404,25
1405,47
1406,41
1407,59
1408,62
1409,40
1410,33
1411,28
1412,25
1413,46
1414,52
1415,49
1416,39
1417,30
1418,39
1419,32
1420,52
1421,50
1422,60
1423,51
1424,50
1425,31
1426,2
1427,25
1428,31
1429,41
1430,35
1431,34
1432,34
1433,32
1434,29
1435,37
1436,49
1437,32
1438,26
1439,28
1440,26
1441,31
1442,27
1443,31
1444,27
1445,24
1446,15
1447,29
1448,28
1449,28
1450,35
1451,24
1452,12
1453,9
1454,12
1455,17
1456,13
1457,12
1458,4
1459,13
1460,11
1461,21
1462,17
1463,18
1464,17
1465,9
1466,25
1467,8
1468,17
1469,8
1470,27
1471,17
1472,16
1473,12
1474,18
1475,13
1476,17
1477,17
1478,19
1479,23
1480,9
1481,16
1482,18
1483,14
1484,18
1485,11
1486,15
1487,14
1488,13
1489,15
1490,7
1491,11
1492,27
1493,6
1494,7
1495,8
1496,14
1497,17
1498,17
1499,13
1500,16
1501,10
1502,7
1503,7
1504,17
1505,18
1506,18
1507,20
1508,11
1509,13
1510,10
1511,10
1512,22
1513,25
1514,20
1515,13
1516,16
1517,20
1518,14
1519,22
1520,14
1521,10
1522,14
1523,9
1524,13
1525,20
1526,25
1527,12
1528,16
1529,11
1530,12
1531,16
1532,16
1533,14
1534,14
1535,12
1536,5
1537,14
1538,8
1539,11
1540,15
1541,6
1542,8
1543,15
1544,7
1545,11
1546,15
1547,12
1548,10
1549,12
1550,12
1551,17
1552,11
1553,13
1554,14
1555,4
1556,5
1557,11
1558,12
1559,7
1560,8
1561,14
1562,16
1563,11
1564,9
1565,6
1566,5
1567,9
1568,8
1569,9
1570,4
1571,11
1572,5
1573,12
1574,15
1575,19
1576,14
1577,13
1578,16
1579,16
1580,21
1581,46
1582,51
1583,28
1584,39
1585,33
1586,30
1587,23
1588,38
1589,47
1590,47
1591,35
1592,33
1593,38
1594,44
1595,54
1596,53
1597,39
1598,47
1599,37
1600,40
1601,41
1602,42
1603,55
1604,41
1605,28
1606,33
1607,35
1608,52
1609,46
1610,46
1611,51
1612,32
1613,37
1614,33
1615,45
1616,50
1617,54
1618,53
1619,56
1620,48
1621,41
1622,31
1623,44
1624,50
1625,57
1626,31
1627,45
1628,31
1629,45
1630,52
1631,52
1632,66
1633,60
1634,45
1635,47
1636,38
1637,45
1638,47
1639,57
1640,35
1641,43
1642,45
1643,66
1644,59
1645,56
1646,54
1647,47
1648,40
1649,52
1650,34
1651,52
1652,53
1653,51
1654,37
1655,43
1656,55
1657,47
1658,66
1659,56
1660,47
1661,37
1662,47
1663,42
1664,30
1665,41
1666,58
1667,64
1668,38
1669,26
1670,40
1671,52
1672,61
1673,53
1674,46
1675,38
1676,40
1677,47
1678,37
1679,52
1680,50
1681,62
1682,42
1683,46
1684,45
1685,44
1686,59
1687,49
1688,57
1689,33
1690,35
1691,34
1692,33
1693,37
1694,66
1695,64
1696,43
1697,30
1698,32
1699,48
1700,49
1701,65
1702,42
1703,35
1704,24
1705,21
1706,29
1707,37
1708,44
1709,40
1710,35
1711,44
1712,34
1713,34
1714,46
1715,64
1716,53
1717,38
1718,44
1719,44
1720,28
1721,53
1722,47
1723,54
1724,25
1725,37
1726,29
1727,44
1728,43
1729,60
1730,51
1731,30
1732,36
1733,30
1734,42
1735,55
1736,60
1737,66
1738,30
1739,33
1740,51
1741,46
1742,32
1743,58
1744,55
1745,28
1746,38
1747,42
1748,36
1749,38
1750,53
1751,47
1752,40
1753,37
1754,37
1755,21
1756,40
1757,60
1758,56
1759,40
1760,40
1761,53
1762,59
1763,50
1764,40
1765,58
1766,31
1767,50
1768,35
1769,24
1770,49
1771,63
1772,47
1773,31
1774,47
1775,38
1776,34
1777,44
1778,47
1779,61
1780,29
1781,35
1782,51
1783,41
1784,47
1785,56
1786,65
1787,40
1788,56
1789,60
1790,63
1791,0
1792,18
1793,36
1794,34
1795,33
1796,31
1797,39
1798,36
1799,30
1800,55
1801,27
1802,31
1803,32
1804,28
1805,34
1806,44
1807,49
1808,38
1809,24
1810,28
1811,30
1812,48
1813,46
1814,45
1815,43
1816,26
1817,32
1818,24
1819,39
1820,52
1821,47
1822,28
1823,31
1824,18
1825,32
1826,27
1827,32
1828,36
1829,24
1830,21
1831,30
1832,31
1833,28
1834,59
1835,40
1836,29
1837,24
1838,28
1839,30
1840,34
1841,41
1842,45
1843,40
1844,35
1845,32
1846,29
1847,35
1848,40
1849,47
1850,27
1851,37
1852,32
1853,41
1854,38
1855,49
1856,43
1857,26
1858,36
1859,36
1860,33
1861,38
1862,55
1863,53
1864,23
1865,27
1866,37
1867,38
1868,34
1869,39
1870,36
1871,35
1872,25
1873,34
1874,20
1875,26
1876,26
1877,14
1878,24
1879,32
1880,28
1881,43
1882,42
1883,61
1884,62
1885,26
1886,27
1887,26
1888,28
1889,30
1890,49
1891,34
1892,26
1893,25
1894,27
1895,33
1896,36
1897,49
1898,30
1899,38
1900,24
1901,29
1902,18
1903,24
1904,47
1905,39
1906,26
1907,45
1908,42
1909,30
1910,34
1911,39
1912,36
1913,24
1914,32
1915,23
1916,30
1917,37
1918,45
1919,45
1920,32
1921,37
1922,32
1923,24
1924,39
1925,50
1926,38
1927,18
1928,37
1929,30
1930,28
1931,41
1932,45
1933,41
1934,29
1935,29
1936,38
1937,41
1938,30
1939,48
1940,62
